date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:31	226/226	---M-Z	400	error ('Bad%20Request')	text/html	date:Wed,%2013%20Aug%202014%2018:38:27%20GMT	http://www.world-of-swiss.com/[%=%20item.url%20%]	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/[%=%20item.url%20%]	(from http://www.world-of-swiss.com/en)
14:38:33	33587/33587	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Mar%202014%2021:57:51%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/img/routenetwork/map-zoom-switzerland.jpg?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/img/routenetwork/map-zoom-switzerlandf169.jpg	(from http://www.world-of-swiss.com/en)
14:38:35	9494/9494	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202014%2021:57:52%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-2.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-2f169.png	(from http://www.world-of-swiss.com/en)
14:38:35	54282/54282	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Mar%202014%2021:57:51%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/img/routenetwork/map-zoom-europe.jpg?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/img/routenetwork/map-zoom-europef169.jpg	(from http://www.world-of-swiss.com/en)
14:38:36	16811/16811	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202014%2021:57:52%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-4.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-4f169.png	(from http://www.world-of-swiss.com/en)
14:38:36	6549/6549	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202014%2021:57:52%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-5.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-5f169.png	(from http://www.world-of-swiss.com/en)
14:38:37	6127/6127	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202014%2021:57:52%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-7.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-7f169.png	(from http://www.world-of-swiss.com/en)
14:38:37	6629/6629	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202014%2021:57:52%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-8.png?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/img/world3d/cloud-8f169.png	(from http://www.world-of-swiss.com/en)
14:38:38	16352/16352	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2016%20Jun%202014%2011:37:10%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/js/vendor/require.js?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/js/vendor/requiref169.js	(from http://www.world-of-swiss.com/en)
14:38:39	24172/24172	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Mar%202014%2021:57:31%20GMT	http://cdn.world-of-swiss.com/bundles/swisssite/script/webtrends.min.js?1402919123	C:/Users/Alex/Pictures/Google/Personal%20Website/cdn.world-of-swiss.com/bundles/swisssite/script/webtrends.minf169.js	(from http://www.world-of-swiss.com/en)
14:38:39	7646/7646	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:38:40%20GMT	http://www.world-of-swiss.com/de/page/no-javascript	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/de/page/no-javascript.html	(from http://www.world-of-swiss.com/en/page/no-javascript)
14:38:40	7739/7739	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Aug%202014%2018:38:40%20GMT	http://www.world-of-swiss.com/fr/page/no-javascript	C:/Users/Alex/Pictures/Google/Personal%20Website/www.world-of-swiss.com/fr/page/no-javascript.html	(from http://www.world-of-swiss.com/en/page/no-javascript)
